acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,label
0.846,0.163,0.332,14.42,1.295,-14.437,brushing
0.846,0.163,0.332,18.97,16.24,-29.715,brushing
0.821,0.289,0.26,18.97,16.24,-29.715,brushing
0.821,0.289,0.26,19.477,6.002,-38.64,brushing
0.83,0.383,0.248,19.477,6.002,-38.64,brushing
0.83,0.383,0.248,16.03,-6.02,-41.037,brushing
0.842,0.477,0.346,16.03,-6.02,-41.037,brushing
0.842,0.477,0.346,16.327,-12.775,-38.482,brushing
0.824,0.46,0.393,16.327,-12.775,-38.482,brushing
0.824,0.46,0.393,21.595,-12.915,-35.437,brushing
0.827,0.428,0.391,21.595,-12.915,-35.437,brushing
0.827,0.428,0.391,29.557,-1.855,-34.002,brushing
0.789,0.374,0.39,29.557,-1.855,-34.002,brushing
0.795,0.421,0.343,29.557,-1.855,-34.002,brushing
0.795,0.421,0.343,36.942,10.64,-37.012,brushing
0.819,0.478,0.263,36.942,10.64,-37.012,brushing
0.819,0.478,0.263,41.282,18.497,-37.485,brushing
0.857,0.539,0.201,41.282,18.497,-37.485,brushing
0.857,0.539,0.201,41.895,22.067,-34.02,brushing
0.866,0.556,0.197,41.895,22.067,-34.02,brushing
0.866,0.556,0.197,40.232,18.042,-29.312,brushing
0.86,0.543,0.189,40.232,18.042,-29.312,brushing
0.86,0.543,0.189,38.482,11.392,-27.807,brushing
0.871,0.544,0.2,38.482,11.392,-27.807,brushing
0.871,0.544,0.2,36.662,0.997,-27.667,brushing
0.869,0.504,0.152,36.662,0.997,-27.667,brushing
0.869,0.504,0.152,34.177,-0.157,-27.23,brushing
0.877,0.5,0.109,34.177,-0.157,-27.23,brushing
0.877,0.5,0.109,30.432,6.947,-25.13,brushing
0.876,0.503,0.093,30.432,6.947,-25.13,brushing
0.876,0.503,0.093,26.11,11.585,-22.907,brushing
0.871,0.508,0.116,26.11,11.585,-22.907,brushing
0.87,0.527,0.133,26.11,11.585,-22.907,brushing
0.87,0.527,0.133,23.415,11.252,-21.98,brushing
0.843,0.515,0.129,23.415,11.252,-21.98,brushing
0.843,0.515,0.129,22.12,9.135,-21.035,brushing
0.859,0.533,0.092,22.12,9.135,-21.035,brushing
0.859,0.533,0.092,21.122,6.02,-20.877,brushing
0.843,0.516,0.077,21.122,6.02,-20.877,brushing
0.843,0.516,0.077,18.375,2.432,-19.967,brushing
0.828,0.495,0.084,18.375,2.432,-19.967,brushing
0.828,0.495,0.084,15.96,0.962,-20.755,brushing
0.829,0.497,0.115,15.96,0.962,-20.755,brushing
0.829,0.497,0.115,15.785,3.255,-22.225,brushing
0.813,0.512,0.119,15.785,3.255,-22.225,brushing
0.813,0.512,0.119,16.52,5.862,-23.03,brushing
0.814,0.54,0.109,16.52,5.862,-23.03,brushing
0.814,0.54,0.109,16.52,6.335,-22.4,brushing
0.816,0.553,0.093,16.52,6.335,-22.4,brushing
0.816,0.553,0.093,15.785,5.74,-21.542,brushing
0.813,0.541,0.078,15.785,5.74,-21.542,brushing
0.817,0.549,0.074,15.785,5.74,-21.542,brushing
